"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","808","Change language to Korean","Validation of language change on ""IoT SIM Card""","Tue Apr 01 11:26:22 EEST 2025","passed","Tue Apr 01 11:26:22 EEST 2025","","","",""
"","2900","Search for an article by partial title","Validation of search functionality on the Resource page","Tue Apr 01 11:27:23 EEST 2025","passed","Tue Apr 01 11:27:26 EEST 2025","","","",""
"","15021","User can open and close menu tabs (example #1)","Homepage Menu Tabs","Tue Apr 01 11:26:44 EEST 2025","passed","Tue Apr 01 11:26:59 EEST 2025","","","",""
"","2464","User can open and close menu tabs (example #3)","Homepage Menu Tabs","Tue Apr 01 11:27:07 EEST 2025","passed","Tue Apr 01 11:27:09 EEST 2025","","","",""
"","368","Default language is English","Validation of language change on ""IoT SIM Card""","Tue Apr 01 11:26:23 EEST 2025","passed","Tue Apr 01 11:26:23 EEST 2025","","","",""
"","4216","Apply filter for WEBRTC articles","Verify filtering functionality on the Resources page","Tue Apr 01 11:27:16 EEST 2025","passed","Tue Apr 01 11:27:21 EEST 2025","","","",""
"","2665","Verify ""Do Telnyx IoT SIMs support voice?"" FAQ section expands and collapses correctly","FAQ section on IoT Sim Page","Tue Apr 01 11:26:25 EEST 2025","passed","Tue Apr 01 11:26:28 EEST 2025","","","",""
"","2329","Change language to Japanese","Validation of language change on ""IoT SIM Card""","Tue Apr 01 11:26:19 EEST 2025","passed","Tue Apr 01 11:26:22 EEST 2025","","","",""
"","3142","User can open and close menu tabs (example #2)","Homepage Menu Tabs","Tue Apr 01 11:27:02 EEST 2025","passed","Tue Apr 01 11:27:05 EEST 2025","","","",""
"","2515","User can open and close menu tabs (example #4)","Homepage Menu Tabs","Tue Apr 01 11:27:10 EEST 2025","passed","Tue Apr 01 11:27:12 EEST 2025","","","",""
"","1584","User can open and close menu tabs (example #5)","Homepage Menu Tabs","Tue Apr 01 11:27:12 EEST 2025","passed","Tue Apr 01 11:27:14 EEST 2025","","","",""
"","5554","User filters by country in Global Coverage","Validation of country filter in Global Coverage (Number Types tab)","Tue Apr 01 11:26:12 EEST 2025","passed","Tue Apr 01 11:26:17 EEST 2025","","","",""
"","4829","Cookie Policy page opens after clicking Read More","Cookie Policy Interaction","Tue Apr 01 11:26:29 EEST 2025","passed","Tue Apr 01 11:26:34 EEST 2025","","","",""
