"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2580","Validation of search functionality when a partial article title is entered","Search functionality validation in Solution tab","Tue Apr 01 15:14:43 UTC 2025","passed","Tue Apr 01 15:14:45 UTC 2025","","","",""
"","2838","Validate ""Telnyx vs. Bandwidth"" footer link (example #2)","Validate footer links on Telnyx homepage","Tue Apr 01 15:15:59 UTC 2025","passed","Tue Apr 01 15:16:01 UTC 2025","","","",""
"","3183","Apply filter for WEBRTC articles","Verify filtering functionality on the Resources page","Tue Apr 01 15:14:27 UTC 2025","passed","Tue Apr 01 15:14:30 UTC 2025","","","",""
"","1067","Change language to Korean","Validation of language change on ""IoT SIM Card""","Tue Apr 01 15:13:37 UTC 2025","passed","Tue Apr 01 15:13:38 UTC 2025","","","",""
"","806","Validate ""Telnyx vs. Vonage"" footer link (example #5)","Validate footer links on Telnyx homepage","Tue Apr 01 15:16:17 UTC 2025","passed","Tue Apr 01 15:16:18 UTC 2025","","","",""
"","691","User can open and close menu tabs (example #4)","Homepage Menu Tabs","Tue Apr 01 15:14:21 UTC 2025","passed","Tue Apr 01 15:14:22 UTC 2025","","","",""
"","17164","Cookie Policy page opens after clicking Read More","Cookie Policy Interaction","Tue Apr 01 15:13:44 UTC 2025","passed","Tue Apr 01 15:14:02 UTC 2025","","","",""
"","3486","Search for an article by partial title","Validation of search functionality on the Resource page","Tue Apr 01 15:14:33 UTC 2025","passed","Tue Apr 01 15:14:36 UTC 2025","","","",""
"","1797","Validate the link ""Market trends: AI's impact on contact centers"" (example #3)","Validation of anchor links functionality in Resources tab articles","Tue Apr 01 15:15:36 UTC 2025","passed","Tue Apr 01 15:15:38 UTC 2025","","","",""
"","2113","Verify ""Do Telnyx IoT SIMs support voice?"" FAQ section expands and collapses correctly","FAQ section on IoT Sim Page","Tue Apr 01 15:13:40 UTC 2025","passed","Tue Apr 01 15:13:42 UTC 2025","","","",""
"","4164","Validate the link ""Step-by-step guide to AI implementation with Telnyx"" (example #1)","Validation of anchor links functionality in Resources tab articles","Tue Apr 01 15:15:30 UTC 2025","passed","Tue Apr 01 15:15:34 UTC 2025","","","",""
"","3016","Validation of search functionality when a non-existent article title is entered","Search functionality validation in Solutions tab","Tue Apr 01 15:14:47 UTC 2025","passed","Tue Apr 01 15:14:50 UTC 2025","","","",""
"","665","User can open and close menu tabs (example #3)","Homepage Menu Tabs","Tue Apr 01 15:14:20 UTC 2025","passed","Tue Apr 01 15:14:21 UTC 2025","","","",""
"","368","Default language is English","Validation of language change on ""IoT SIM Card""","Tue Apr 01 15:13:38 UTC 2025","passed","Tue Apr 01 15:13:38 UTC 2025","","","",""
"","2600","Validation of filtering and reset functionality on Global Coverage page","Validation of filtering and reset functionality on Global Coverage page","Tue Apr 01 15:15:20 UTC 2025","passed","Tue Apr 01 15:15:23 UTC 2025","","","",""
"","814","Validate ""Telnyx vs. Hologram"" footer link (example #4)","Validate footer links on Telnyx homepage","Tue Apr 01 15:16:14 UTC 2025","passed","Tue Apr 01 15:16:15 UTC 2025","","","",""
"","3393","Validation of LinkedIn social link on the Home Page","Home Page Social Link Validation","Tue Apr 01 15:14:38 UTC 2025","passed","Tue Apr 01 15:14:41 UTC 2025","","","",""
"","965","Validate ""Telnyx vs. Amazon S3"" footer link (example #6)","Validate footer links on Telnyx homepage","Tue Apr 01 15:16:20 UTC 2025","passed","Tue Apr 01 15:16:21 UTC 2025","","","",""
"","2672","Validate that selected filters persist after page reload","Validation of filter persistence in Resources tab after page reload","Tue Apr 01 15:15:25 UTC 2025","passed","Tue Apr 01 15:15:28 UTC 2025","","","",""
"","2588","Change language to Japanese","Validation of language change on ""IoT SIM Card""","Tue Apr 01 15:13:34 UTC 2025","passed","Tue Apr 01 15:13:37 UTC 2025","","","",""
"","776","User can open and close menu tabs (example #2)","Homepage Menu Tabs","Tue Apr 01 15:14:18 UTC 2025","passed","Tue Apr 01 15:14:19 UTC 2025","","","",""
"","1515","Validate the link ""How AI technologies enhance contact centers"" (example #2)","Validation of anchor links functionality in Resources tab articles","Tue Apr 01 15:15:34 UTC 2025","passed","Tue Apr 01 15:15:36 UTC 2025","","","",""
"","5090","User filters by country in Global Coverage","Validation of country filter in Global Coverage (Number Types tab)","Tue Apr 01 15:13:27 UTC 2025","passed","Tue Apr 01 15:13:32 UTC 2025","","","",""
"","3094","User can open and close menu tabs (example #1)","Homepage Menu Tabs","Tue Apr 01 15:14:12 UTC 2025","passed","Tue Apr 01 15:14:15 UTC 2025","","","",""
"","6905","Validation of settings persistence for AI-powered demo","AI-powered demo settings persistence","Tue Apr 01 15:14:52 UTC 2025","passed","Tue Apr 01 15:14:59 UTC 2025","","","",""
"","668","User can open and close menu tabs (example #5)","Homepage Menu Tabs","Tue Apr 01 15:14:22 UTC 2025","passed","Tue Apr 01 15:14:23 UTC 2025","","","",""
"","1006","Validate ""Telnyx vs. Kore Wireless"" footer link (example #3)","Validate footer links on Telnyx homepage","Tue Apr 01 15:16:07 UTC 2025","passed","Tue Apr 01 15:16:08 UTC 2025","","","",""
"","11944","Validate ""Telnyx vs. Twilio"" footer link (example #1)","Validate footer links on Telnyx homepage","Tue Apr 01 15:15:40 UTC 2025","passed","Tue Apr 01 15:15:51 UTC 2025","","","",""
